id,Name,ISIN,Issue_date,maturity_date,Coupon,last_coupon,2022-1-10,2022-1-11,2022-1-12,2022-1-13,2022-1-14,2022-1-17,2022-1-18,2022-1-19,2022-1-20,2022-1-21,2022-1-24,
1,CANADACD-BONDS 2011(22),CA135087ZU15,2011-1-8,2022-05-31,2.75,2021-11-30,100.9,100.89,100.88,100.85,100.84,100.8,100.78,100.78,100.76,100.77,100.77,
2,CanadaCD-Bonds 2020(22),CA135087L369,2020-8-16,2022-10-31,0.25,2021-10-31,99.55,99.54,99.52,99.52,99.5,99.43,99.4,99.42,99.43,99.46,99.48,
3,CANADACD-BONDS 2012(23),CA135087A610,2012-7-29,2023-05-31,1.5,2021-11-30,100.71,100.7,100.67,100.64,100.61,100.5,100.45,100.44,100.43,100.48,100.5,
4,CANADACD-BONDS 2021(23),CA135087M763,2021-8-8,2023-10-31,0.5,2021-10-31,98.96,98.955,98.934,98.911,98.878,98.732,98.666,98.654,98.661,98.717,98.746,
5,CanadaCD-Bonds 2013(24),CA135087B451,2013-7-1,2024-05-31,2.5,2021-11-30,103.02,102.98,102.97,102.93,102.88,102.67,102.57,102.54,102.53,102.62,102.71,
6,CANADACD-BONDS 2021(24),CA135087M508,2021-7-11,2024-09-30,0.75,2021-9-30,98.555,98.56,98.53,98.485,98.44,98.205,98.115,98.125,98.14,98.275,98.35,
7,CANADACD-BONDS 2014(25),CA135087D507,2024-6-29,2025-05-31,2.25,2021-11-30,102.91,102.89,102.9,102.87,102.79,102.53,102.35,102.26,102.3,102.38,102.57,
8,CanadaCD-Bonds 2020(25),CA135087K940,2020-4-2,2025-08-31,0.5,2021-8-31,96.66,96.72,96.77,96.77,96.68,96.43,96.26,96.15,96.19,96.31,96.49,
9,CanadaCD-Bonds 2020(26),CA135087L518,2020-10-8,2026-02-28,0.25,2021-8-31,95.11,95.17,95.12,95.14,95.04,94.75,94.53,94.5,94.52,94.7,94.87,
10,CanadaCD-Bonds 2021(26),CA135087L930,2021-4-15,2026-08-31,1,2021-8-31,97.6,97.7,97.67,97.695,97.585,97.24,97.02,96.96,97,97.225,97.4,
